county_prec,total_reg
015_032,1107.0
015_033,1157.0
015_034,1351.0
015_035,735.0
015_036,786.0
015_037,775.0
015_038,148.0
015_039,398.0
015_040,145.0
015_041,550.0
015_042,69.0
015_044,1099.0
015_045,635.0
017_001,473.0
017_002,536.0
017_003,47.0
017_004,126.0
017_005,950.0
017_006,79.0
017_007,440.0
017_008,1272.0
017_009,339.0
017_010,248.0
017_011,1423.0
017_012,1938.0
017_013,1549.0
017_014,1001.0
017_015,993.0
017_016,1003.0
017_017,435.0
017_018,783.0
017_019,649.0
017_020,854.0
017_021,225.0
017_022,1038.0
017_023,286.0
017_024,430.0
017_025,480.0
017_026,491.0
017_027,446.0
017_028,651.0
017_029,442.0
017_030,594.0
017_031,72.0
017_032,338.0
017_033,518.0
017_034,588.0
017_035,91.0
019_001,871.0
019_002,808.0
019_003,723.0
019_004,308.0
019_005,655.0
021_001,287.0
021_002,448.0
023_001,784.0
023_002,505.0
023_003,812.0
023_004,268.0
023_005,201.0
023_006,517.0
025_002,37.0
025_003,798.0
025_010,947.0
025_011,566.0
025_012,462.0
025_013,1146.0
025_014,810.0
025_015,1352.0
025_016,431.0
025_017,510.0
025_018,417.0
025_020,1641.0
025_021,340.0
025_022,1481.0
025_023,1169.0
025_024,677.0
025_025,585.0
025_026,1151.0
025_027,850.0
025_028,600.0
025_029,927.0
025_030,520.0
025_031,894.0
025_032,645.0
025_033,755.0
025_034,360.0
025_035,438.0
025_036,678.0
025_041,1277.0
025_042,696.0
025_043,785.0
025_044,657.0
025_051,426.0
025_052,1236.0
025_053,893.0
025_054,474.0
025_055,374.0
025_061,719.0
025_062,352.0
025_071,734.0
025_072,862.0
025_073,750.0
025_074,451.0
027_001,287.0
027_002,344.0
027_003,1018.0
027_004,496.0
027_005,1215.0
027_006,956.0
027_007,1306.0
027_008,1052.0
027_009,1248.0
027_010,387.0
027_011,1028.0
027_012,453.0
027_013,522.0
027_014,678.0
027_015,316.0
027_016,168.0
027_017,408.0
027_018,222.0
027_019,191.0
027_020,315.0
027_021,695.0
027_022,201.0
028_001,759.0
028_002,500.0
028_003,694.0
028_004,874.0
028_005,527.0
028_006,1282.0
028_007,666.0
028_008,707.0
028_009,512.0
028_010,398.0
028_011,911.0
028_012,744.0
028_013,780.0
028_014,791.0
028_015,1742.0
028_016,1280.0
028_017,573.0
029_001,353.0
029_002,784.0
029_003,1036.0
029_004,749.0
029_005,1181.0
029_006,835.0
029_008,878.0
029_010,1243.0
029_011,923.0
029_012,798.0
029_013,1405.0
029_014,1239.0
031_001,904.0
031_002,343.0
031_003,322.0
031_004,597.0
031_005,1105.0
031_006,1198.0
031_007,815.0
031_008,406.0
031_009,702.0
031_010,716.0
031_011,280.0
031_012,128.0
031_013,466.0
031_014,1048.0
031_015,746.0
031_016,483.0
031_017,1026.0
031_018,226.0
031_019,1029.0
031_020,840.0
031_021,811.0
031_022,689.0
031_023,806.0
031_024,827.0
031_025,1489.0
031_026,458.0
031_027,1450.0
031_028,721.0
031_029,864.0
031_030,1332.0
031_031,598.0
031_032,425.0
031_033,904.0
031_034,425.0
031_035,490.0
031_036,168.0
031_037,239.0
031_038,359.0
031_039,605.0
031_040,360.0
031_041,629.0
031_042,238.0
031_043,872.0
031_044,412.0
031_045,568.0
031_046,688.0
031_047,375.0
031_048,1259.0
031_049,978.0
031_050,201.0
031_051,457.0
031_052,341.0
031_053,650.0
031_054,645.0
031_055,492.0
031_056,645.0
031_057,476.0
031_058,723.0
031_059,310.0
031_060,378.0
031_061,229.0
031_062,322.0
033_001,677.0
033_002,659.0
033_003,326.0
033_004,381.0
033_005,331.0
033_006,179.0
033_007,221.0
033_008,345.0
033_009,122.0
033_010,221.0
033_011,289.0
035_001,1040.0
035_002,34.0
035_003,25.0
035_004,86.0
035_005,265.0
035_006,176.0
035_007,284.0
035_008,1624.0
035_009,693.0
035_010,1790.0
035_011,990.0
035_012,962.0
035_013,762.0
035_014,1216.0
035_015,1093.0
035_016,533.0
035_017,1234.0
035_018,2582.0
035_019,380.0
035_020,351.0
035_021,1389.0
035_022,392.0
035_023,509.0
035_024,1040.0
035_025,744.0
035_026,571.0
035_027,653.0
035_028,1175.0
035_029,1291.0
035_030,459.0
035_031,441.0
035_032,532.0
035_033,575.0
035_034,467.0
035_035,1033.0
035_036,765.0
035_037,475.0
035_038,154.0
035_039,691.0
035_040,568.0
035_041,897.0
037_001,139.0
037_002,95.0
037_003,348.0
037_004,91.0
037_005,892.0
037_006,508.0
037_007,830.0
037_008,391.0
037_009,888.0
037_010,434.0
037_011,837.0
037_012,543.0
039_001,551.0
039_002,1596.0
039_003,756.0
039_004,1071.0
039_005,467.0
039_006,299.0
039_007,855.0
039_008,416.0
039_009,581.0
039_010,846.0
039_011,1464.0
039_012,603.0
039_013,1107.0
039_014,591.0
039_015,366.0
039_016,443.0
039_017,199.0
039_018,490.0
039_019,375.0
039_020,1088.0
039_021,108.0
039_022,129.0
039_023,258.0
039_024,1499.0
039_025,206.0
039_026,376.0
039_027,113.0
039_028,86.0
039_029,59.0
039_030,298.0
039_031,720.0
039_032,470.0
039_033,144.0
039_034,7.0
039_035,874.0
039_036,1653.0
039_037,222.0
039_038,974.0
039_039,927.0
039_040,1083.0
039_041,1227.0
039_042,213.0
041_001,577.0
041_002,1140.0
041_003,81.0
041_004,325.0
041_005,245.0
041_006,324.0
041_007,295.0
041_008,708.0
041_009,1100.0
041_010,1035.0
041_011,347.0
041_012,692.0
041_013,335.0
041_014,825.0
041_015,291.0
041_016,251.0
041_017,578.0
041_018,579.0
045_001,1073.0
045_002,950.0
045_003,749.0
045_004,1561.0
045_005,1728.0
045_006,335.0
045_007,379.0
045_008,1179.0
045_009,290.0
