county_prec,pct_obama,pct_romney,obama,romney
033_008,0.7398373983739838,0.24796747967479674,182.0,61.0
033_009,0.574468085106383,0.35106382978723405,54.0,33.0
033_010,0.7549668874172185,0.2251655629139073,114.0,34.0
033_011,0.7455357142857143,0.23660714285714285,167.0,53.0
035_001,0.7421383647798742,0.25157232704402516,236.0,80.0
035_002,0.14285714285714285,0.7857142857142857,4.0,22.0
035_003,0.0,0.9615384615384616,0.0,25.0
035_004,0.08823529411764706,0.8970588235294118,6.0,61.0
035_005,0.19642857142857142,0.7678571428571429,33.0,129.0
035_006,0.13333333333333333,0.8148148148148148,18.0,110.0
035_007,0.14492753623188406,0.8502415458937198,30.0,176.0
035_008,0.2728047740835465,0.690537084398977,320.0,810.0
035_009,0.2539130434782609,0.711304347826087,146.0,409.0
035_010,0.2927382753403933,0.6656580937972768,387.0,880.0
035_011,0.8381147540983607,0.12704918032786885,409.0,62.0
035_012,0.31334332833583206,0.6416791604197901,209.0,428.0
035_013,0.4326530612244898,0.5061224489795918,212.0,248.0
035_014,0.3129251700680272,0.6507936507936508,276.0,574.0
035_015,0.2559774964838256,0.7018284106891702,182.0,499.0
035_016,0.32620320855614976,0.6256684491978609,61.0,117.0
035_017,0.37057991513437055,0.5869872701555869,262.0,415.0
035_018,0.26894586894586897,0.7008547008547008,472.0,1230.0
035_019,0.717391304347826,0.24782608695652175,165.0,57.0
035_020,0.6405529953917051,0.33640552995391704,139.0,73.0
035_021,0.3213872832369942,0.6497109826589595,278.0,562.0
035_022,0.39194139194139194,0.5787545787545788,107.0,158.0
035_023,0.45103857566765576,0.5133531157270029,152.0,173.0
035_024,0.31066666666666665,0.6506666666666666,233.0,488.0
035_025,0.2987012987012987,0.6753246753246753,161.0,364.0
035_026,0.3545706371191136,0.5983379501385041,128.0,216.0
035_027,0.33954451345755693,0.6169772256728778,164.0,298.0
035_028,0.2982885085574572,0.6625916870415648,244.0,542.0
035_029,0.2871287128712871,0.676980198019802,232.0,547.0
035_030,0.4249201277955272,0.5335463258785943,133.0,167.0
035_031,0.3851851851851852,0.5555555555555556,104.0,150.0
035_032,0.4805194805194805,0.461038961038961,148.0,142.0
035_033,0.36666666666666664,0.5833333333333334,132.0,210.0
035_034,0.3180327868852459,0.6557377049180327,97.0,200.0
035_035,0.23066666666666666,0.7253333333333334,173.0,544.0
035_036,0.38095238095238093,0.5941043083900227,168.0,262.0
035_037,0.2967741935483871,0.6645161290322581,92.0,206.0
035_038,0.35454545454545455,0.6,39.0,66.0
035_039,0.30245746691871456,0.667296786389414,160.0,353.0
035_040,0.2702078521939954,0.7020785219399538,117.0,304.0
035_041,0.6779661016949152,0.31864406779661014,200.0,94.0
037_001,0.020833333333333332,0.9479166666666666,2.0,91.0
037_002,0.09333333333333334,0.8533333333333334,7.0,64.0
037_003,0.2631578947368421,0.7044534412955465,65.0,174.0
037_004,0.12,0.8533333333333334,9.0,64.0
037_005,0.19491525423728814,0.7813559322033898,115.0,461.0
037_006,0.2175141242937853,0.7627118644067796,77.0,270.0
037_007,0.6909975669099757,0.26277372262773724,284.0,108.0
037_008,0.4383561643835616,0.5205479452054794,96.0,114.0
037_009,0.45614035087719296,0.5029239766081871,234.0,258.0
037_010,0.7288135593220338,0.2542372881355932,172.0,60.0
037_011,0.4026974951830443,0.5568400770712909,209.0,289.0
037_012,0.30376344086021506,0.6693548387096774,113.0,249.0
039_001,0.8053333333333333,0.15733333333333333,302.0,59.0
039_002,0.7780104712041885,0.1968586387434555,743.0,188.0
039_003,0.7545454545454545,0.22727272727272727,332.0,100.0
039_004,0.7151799687010955,0.2535211267605634,457.0,162.0
039_005,0.7323943661971831,0.2112676056338028,260.0,75.0
039_006,0.861244019138756,0.11004784688995216,180.0,23.0
039_007,0.834307992202729,0.1286549707602339,428.0,66.0
039_008,0.7489539748953975,0.20502092050209206,179.0,49.0
039_009,0.7129337539432177,0.26498422712933756,226.0,84.0
039_010,0.7908745247148289,0.1806083650190114,416.0,95.0
039_011,0.6739356178608515,0.284527518172378,649.0,274.0
039_012,0.6984615384615385,0.2676923076923077,227.0,87.0
039_013,0.7675840978593272,0.21100917431192662,502.0,138.0
039_014,0.7733333333333333,0.208,290.0,78.0
039_015,0.8557213930348259,0.11940298507462686,172.0,24.0
039_016,0.7888446215139442,0.1752988047808765,198.0,44.0
039_017,0.8672566371681416,0.04424778761061947,98.0,5.0
039_018,0.6915254237288135,0.26101694915254237,204.0,77.0
039_019,0.5464684014869888,0.4200743494423792,147.0,113.0
039_020,0.5877862595419847,0.3801526717557252,385.0,249.0
