county,precinct,code,reg_voters
QUAY,11,,848
QUAY,12,,544
RIO ARRIBA,1,,524
RIO ARRIBA,2,,1649
RIO ARRIBA,3,,770
RIO ARRIBA,4,,1041
RIO ARRIBA,5,,520
RIO ARRIBA,6,,314
RIO ARRIBA,7,,841
RIO ARRIBA,8,,460
RIO ARRIBA,9,,593
RIO ARRIBA,10,,877
RIO ARRIBA,11,,1442
RIO ARRIBA,12,,624
RIO ARRIBA,13,,1127
RIO ARRIBA,14,,604
RIO ARRIBA,15,,375
RIO ARRIBA,16,,441
RIO ARRIBA,17,,203
RIO ARRIBA,18,,462
RIO ARRIBA,19,,392
RIO ARRIBA,20,,1079
RIO ARRIBA,21,,105
RIO ARRIBA,22,,138
RIO ARRIBA,23,,269
RIO ARRIBA,24,,1463
RIO ARRIBA,25,,199
RIO ARRIBA,26,,382
RIO ARRIBA,27,,118
RIO ARRIBA,28,,90
RIO ARRIBA,29,,71
RIO ARRIBA,30,,316
RIO ARRIBA,31,,755
RIO ARRIBA,32,,462
RIO ARRIBA,33,,144
RIO ARRIBA,34,,9
RIO ARRIBA,35,,855
RIO ARRIBA,36,,1616
RIO ARRIBA,37,,235
RIO ARRIBA,38,,943
RIO ARRIBA,39,,881
RIO ARRIBA,40,,1147
RIO ARRIBA,41,,1053
RIO ARRIBA,42,,224
ROOSEVELT,1,,597
ROOSEVELT,2,,1109
ROOSEVELT,3,,82
ROOSEVELT,4,,330
ROOSEVELT,5,,249
ROOSEVELT,6,,325
ROOSEVELT,7,,301
ROOSEVELT,8,,783
ROOSEVELT,9,,1064
ROOSEVELT,10,,1097
ROOSEVELT,11,,339
ROOSEVELT,12,,733
ROOSEVELT,13,,372
ROOSEVELT,14,,1196
ROOSEVELT,15,,310
ROOSEVELT,16,,284
ROOSEVELT,17,,544
ROOSEVELT,18,,580
SAN JUAN,1,,1199
SAN JUAN,2,,1091
SAN JUAN,3,,777
SAN JUAN,4,,1663
SAN JUAN,5,,1836
SAN JUAN,6,,368
SAN JUAN,7,,418
SAN JUAN,8,,1244
SAN JUAN,9,,362
SAN JUAN,10,,561
SAN JUAN,11,,564
SAN JUAN,12,,468
SAN JUAN,13,,741
SAN JUAN,14,,315
SAN JUAN,15,,641
SAN JUAN,16,,967
SAN JUAN,17,,189
SAN JUAN,18,,985
SAN JUAN,19,,349
SAN JUAN,20,,1311
SAN JUAN,21,,915
SAN JUAN,22,,1367
SAN JUAN,23,,1001
SAN JUAN,24,,582
SAN JUAN,25,,698
SAN JUAN,26,,577
SAN JUAN,27,,1175
SAN JUAN,28,,636
SAN JUAN,29,,614
SAN JUAN,30,,1298
SAN JUAN,31,,1740
SAN JUAN,32,,487
SAN JUAN,33,,917
SAN JUAN,34,,899
SAN JUAN,35,,659
SAN JUAN,36,,580
SAN JUAN,37,,752
